"","x"
"Intercept",0.00317503303825325
"pca_0",-0.00153592575134293
"pca_1",-0.000313967740446851
"pca_2",0.000353095804215635
"pca_3",0.000815860031487786
"pca_4",0
"pca_5",-0.000371533797921317
"pca_6",8.17625137459788e-05
"pca_7",0.00015018641900854
"pca_8",-0.000123513805308955
"pca_9",0
"pca_10",0
"pca_11",-7.71383651616773e-05
"pca_12",-0.000228267173533993
"pca_13",-0.00026398890231798
"pca_14",0.000128716238578164
"pca_15",-2.5031599663993e-06
"pca_16",0.000101969211629198
"pca_17",0
"pca_18",-0.000240298005180258
"pca_19",0.000176559751188165
"pca_20",-7.70807032381456e-05
"pca_21",0
"pca_22",0
"pca_23",0
"pca_24",0
"pca_25",0.000168879658795046
"pca_26",0
"pca_27",0
"pca_28",-1.21207917537363e-05
"pca_29",-4.64931526481677e-06
"pca_30",4.97965458638044e-05
"pca_31",0
"pca_32",8.96432778509551e-06
"pca_33",0
"pca_34",0
"pca_35",0
"pca_36",0
"pca_37",0
"pca_38",0
"pca_39",0
"pca_40",-9.28066589691228e-05
"pca_41",0
"pca_42",0
"pca_43",0
"pca_44",0
"pca_45",0
"pca_46",0
"pca_47",0
"pca_48",0
"pca_49",0
"pca_50",0
"pca_51",0
"pca_52",0
"pca_53",0
"pca_54",0
"pca_55",0
"pca_56",0
"pca_57",0
"pca_58",0
"pca_59",0
"pca_60",4.37154667429284e-05
"pca_61",0
"pca_62",0
"pca_63",0
"pca_64",0
"pca_65",0
"pca_66",0
"pca_67",0
"pca_68",0
"pca_69",-0.000157520708535469
"pca_70",0
"pca_71",0
"pca_72",0
"pca_73",0
"pca_74",0
"pca_75",0
"pca_76",0
"pca_77",-6.35298089709223e-05
"pca_78",0.000110513772087898
"pca_79",-9.96165238579816e-05
"pca_80",0.000169368663107464
"pca_81",0
"pca_82",-2.64976442016294e-05
"pca_83",0
"pca_84",0
"pca_85",3.37795186018853e-05
"pca_86",0
"pca_87",0
"pca_88",0
"pca_89",0
"pca_90",0
"pca_91",0
"pca_92",0
"pca_93",0
"pca_94",0
"pca_95",0
"pca_96",0
"pca_97",0
"pca_98",0
"pca_99",0
"pca_100",0
"pca_101",0
"pca_102",0
"pca_103",0
"pca_104",0
"pca_105",0
"pca_106",0
"pca_107",0
"pca_108",0
"pca_109",0
"pca_110",0
"pca_111",0
"pca_112",0
"pca_113",0
"pca_114",0
"pca_115",0
"pca_116",0
"pca_117",0
"pca_118",0
"pca_119",0
"pca_120",0
"pca_121",0
"pca_122",0
"pca_123",0
"pca_124",0
"pca_125",0
"pca_126",0
"pca_127",0
"pca_128",0
"pca_129",0
"pca_130",0
"pca_131",0
"pca_132",0
"pca_133",7.41975421208202e-05
"pca_134",0
"pca_135",0
"pca_136",0
"pca_137",0
"pca_138",0
"pca_139",0
"pca_140",0
"pca_141",0
"pca_142",-3.89419511959805e-05
"pca_143",0
"pca_144",0
"pca_145",0
"pca_146",0
"pca_147",0
"pca_148",0
"pca_149",0
"pca_150",0
"pca_151",0.000425305215867932
"pca_152",0
"pca_153",0
"pca_154",0
"pca_155",0
"pca_156",0
"pca_157",0
"pca_158",0
"pca_159",0
"pca_160",0
"pca_161",0
"pca_162",0.000123302705937067
"pca_163",0
"pca_164",0
"pca_165",0
"pca_166",0
"pca_167",0
"pca_168",-0.000120254209903827
"pca_169",0
"pca_170",0
"pca_171",0
"pca_172",0
"pca_173",0
"pca_174",0
"pca_175",0
"pca_176",0
"pca_177",0
"pca_178",0
"pca_179",0
"pca_180",0
"pca_181",-9.56671417778509e-05
"pca_182",0
"pca_183",0
"pca_184",0
"pca_185",0
"pca_186",0
"pca_187",0
"pca_188",0
"pca_189",0
"pca_190",0
"pca_191",0
"pca_192",0
"pca_193",0
"pca_194",0
"pca_195",0
